				
BIRC_ID	Anti-State_1	Anti-State_2	Anti-State_3	Anti-State_4
060803163400	02VA	05AV	08AV	06VA
051117170743	10VA	10AV	01VA	06AV
051128162845	10VA	10AV	01VA	06AV
051201162924	04AV	11VA	12AV	05VA
051205121315	03VA	07AV	09AV	02VA
051208161546	02AV	06VA	12VA	03AV
051210154516	01AV	09VA	11AV	07VA
051212155830	11VA	10AV	04AV	04VA
051215162541	08AV	08VA	06VA	02AV
060105155654	07VA	01AV	03VA	09AV
060112162737	11AV	01VA	12AV	10VA
060113155611	12VA	03AV	06AV	09VA
060114162842	07VA	03AV	08VA	11AV
060119162406	06AV	05VA	08AV	10VA
060123155345	02VA	09AV	01AV	06VA
060126163236	05AV	12VA	09VA	04AV
060202162452	01VA	10AV	04VA	02AV
060204095141	07AV	11VA	12AV	03VA
060204112220	01VA	09AV	06AV	12VA
060206155700	05AV	03VA	02VA	12AV
060207154918	04VA	07AV	07VA	02AV
060209134325	03AV	09VA	11AV	05VA
060211150100	10VA	08AV	01AV	06VA
060218111508	08VA	09AV	03VA	02AV
060227161522	11VA	05AV	11AV	07VA
060306160512	08AV	10VA	05VA	03AV
060311142900	01VA	07AV	02VA	04AV
060320161348	11VA	12AV	10AV	05VA
060323162830	05AV	02VA	10VA	11AV
060325143915	06VA	09AV	12VA	02AV
060330161349	07VA	06AV	03AV	09VA
060401113408	06VA	07AV	12VA	02AV
060408131155	04AV	01VA	08AV	09VA
060408142558	10VA	11AV	03AV	08VA
060410160830	09AV	07VA	02VA	01AV
060417162906	10AV	03VA	06AV	11VA
060424162317	11VA	10AV	01AV	04VA
060427161210	08AV	10VA	02VA	12AV
060501155759	12VA	03AV	08VA	11AV
060504160339	09AV	09VA	05AV	06VA
060506101902	01VA	07AV	04AV	05VA
060513144142	01VA	03AV	07VA	12AV
060513154259	01AV	10VA	02AV	04VA
060515160910	12VA	08AV	09AV	08VA
060518155035	05AV	09VA	11VA	07AV
060525161836	02VA	11AV	03VA	10AV
060601160452	02VA	11AV	03VA	10AV
060603094618	04AV	05VA	06AV	06VA
060603111511	09VA	11AV	04AV	07VA
060605164937	05AV	08VA	03VA	03AV
060608161920	10VA	09AV	05VA	10AV
060615162602	02AV	06VA	08AV	11VA
060622160621	07AV	12VA	04VA	06AV
060701141725	01VA	12AV	01AV	02VA
060701161952	03VA	09AV	10VA	01AV
060706161744	12AV	12VA	06AV	08VA
060710164540	06VA	03AV	02AV	02VA
060713162654	10AV	05VA	01VA	05AV
060715095530	04VA	07AV	11VA	04AV
060717162450	04VA	07AV	11VA	04AV
060720161018	08AV	07VA	11AV	09VA
060727155753	12VA	09AV	11AV	03VA
060729135959	01AV	10VA	08VA	07AV
060729155605	05VA	06AV	11VA	03AV
060731163209	12AV	01VA	04AV	04VA
060803163400	02VA	05AV	08AV	06VA
060810162342	02AV	09VA	07VA	10AV
060821164831	12VA	08AV	09VA	02AV
060824162803	05AV	02VA	04AV	03VA
060826141957	10VA	09AV	07AV	11VA
060826161520	03AV	01VA	05VA	11AV
060828164606	04VA	06AV	06VA	10AV
060907162211	09VA	07AV	02AV	12VA
060909145450	09AV	10VA	02VA	06AV
060909162926	11VA	04AV	08VA	05AV
060914160717	01AV	04VA	11AV	07VA
060921161720	08AV	03VA	01VA	10AV
061021110730	09AV	06VA	11AV	03VA
061023171040	04VA	08AV	12AV	08VA
061030164251	01AV	02VA	11VA	06AV
061102162341	05VA	07AV	10VA	10AV
061104095818	09VA	07VA	02AV	04AV
061106165928	02VA	11AV	07AV	10VA
061111142529	05AV	08VA	04VA	09AV
061111160713	06VA	03AV	03VA	01AV
061113164758	04AV	01VA	02AV	05VA
061114132054	07VA	12AV	08AV	12VA
061118094506	06AV	11VA	09VA	10AV
061118110822	09VA	06AV	05AV	08VA
061130162326	03AV	06VA	11VA	12AV
061207160743	03VA	04AV	10VA	11AV
061209150256	07AV	04VA	02AV	05VA
061216111117	12VA	01AV	09AV	07VA
061220152305	08AV	01VA	02VA	10AV
070106133323	09VA	05AV	04VA	01AV
070110164806	04AV	12VA	03AV	11VA
070113162039	03VA	10AV	09AV	10VA
070124170122	11AV	07VA	06AV	02VA
070125163035	05VA	09AV	11AV	02VA
070303111808	03AV	12VA	02AV	04VA
070303141816	01VA	01AV	12AV	11VA
070314161254	06AV	09VA	07VA	10AV
070315163454	04VA	02AV	03VA	07AV
070329161609	09VA	08AV	04AV	08VA
070331101022	06VA	09AV	05VA	11AV
070407145835	02VA	12AV	04VA	08AV
070407160819	02AV	10VA	11AV	01VA
070426162723	07AV	12VA	11VA	03AV
070503161125	08VA	01AV	09VA	06AV
070509163727	03AV	12VA	12AV	10VA
070517160743	05AV	03VA	04AV	06VA
070526120937	12VA	11AV	09AV	04VA
070526133033	12AV	09VA	08VA	03AV
070607155349	10VA	06AV	06VA	07AV
070614160046	08AV	05VA	01AV	01VA
070627165959	05VA	08AV	02VA	09AV
070630100110	10VA	03AV	06AV	03VA
070703143841	07VA	02AV	11VA	10AV
070703160046	07AV	12VA	04AV	01VA
070705141414	08AV	10VA	05VA	11AV
070707094153	04VA	12AV	08VA	06AV
070707110749	02AV	01VA	03AV	09VA
070711165234	07VA	04AV	10AV	02VA
070712152907	05AV	06VA	11VA	07AV
070714143547	09VA	08AV	08VA	05AV
070719154920	07AV	10VA	03AV	07VA
070808162602	01AV	11VA	12VA	12AV
070811094021	01VA	02AV	02VA	11AV
070811110152	10AV	04VA	04AV	05VA
070818092539	03VA	09AV	11AV	10VA
070829162646	04AV	04VA	02VA	06AV
070901102526	05VA	12AV	06VA	03AV
070912170128	02AV	09VA	05AV	08VA
070919145936	12VA	10AV	01AV	01VA
070924093111	07AV	11VA	07VA	08AV
070928185843	08VA	07AV	09AV	11VA
071017164109	04VA	03AV	01VA	02AV
071018155836	12AV	06VA	04AV	02VA
071020094131	04VA	11AV	01AV	06VA
071103094855	09VA	05AV	02AV	03VA
071106142917	05VA	10AV	07AV	12VA
071107164950	04AV	02VA	08VA	06AV
071110114750	06AV	10VA	08AV	03VA
071112145825	07VA	02AV	01AV	05VA
071114164529	12AV	01VA	06VA	09AV
071117094359	02VA	11AV	09VA	05AV
071121101733	04AV	08VA	10AV	11VA
071129161139	04VA	08AV	05VA	12AV
071130171215	07AV	09VA	01AV	07VA
071203174809	06VA	10AV	03AV	11VA
071204164954	05AV	10VA	02VA	11AV
071208084723	08VA	06AV	04AV	12VA
071208101125	01VA	10AV	07VA	12AV
071215101236	05VA	01AV	05AV	04VA
071217175324	03AV	06VA	11VA	07AV
071218142651	03VA	11AV	10VA	04AV
071218163034	02AV	09VA	06AV	02VA
071219111541	03VA	10AV	02AV	12VA
080102135908	11AV	10VA	08VA	08AV
080104102455	04VA	09AV	02VA	01AV
080111154101	06AV	09VA	07AV	11VA
080115174945	07VA	03AV	12AV	06VA
080119104956	04AV	01VA	05VA	05AV
080126114813	12VA	06AV	07VA	02AV
080129184609	11AV	05VA	12AV	09VA
080219140951	03VA	07AV	06VA	01AV
080327161039	04AV	06VA	02AV	03VA
080328093055	10VA	09AV	05AV	09VA
080331154925	01AV	07VA	04VA	12AV
080514155937	02VA	09AV	10VA	02AV
080517105037	03AV	06VA	06AV	01VA
080520161259	05VA	08AV	05AV	03VA
080522155832	07AV	07VA	12VA	11AV
080605134427	09VA	10AV	11VA	01AV
080612092638	04AV	08VA	12AV	04VA
080619123313	07VA	12AV	04AV	03VA
080625150930	05AV	11AV	01VA	01AV
080626115126	04VA	09AV	05VA	08AV
080804105327	04AV	12VA	09AV	10VA
080806151206	06VA	10AV	02AV	04VA
080818174804	05VA	07AV	01VA	01AV
080819165829	05AV	08VA	08AV	11VA
080828160901	08VA	07AV	12AV	11VA
080910162353	03AV	07VA	02VA	06AV
080923164610	09VA	01AV	06VA	09AV
081007163419	05VA	11AV	05AV	12VA
081013170955	10AV	01VA	03VA	04AV
081023170012	01VA	03AV	11VA	10AV
081104093425	08AV	03VA	11AV	05VA
081108105920	02VA	06AV	07VA	01AV
081112163540	09VA	04VA	05AV	09AV
081117161855	02VA	12AV	04AV	11VA
081120161731	01VA	10AV	03VA	07AV
081124163841	09AV	08VA	09VA	03AV
081202160138	08VA	06AV	01VA	03AV
081203162435	04AV	02VA	10AV	09VA
081204162652	12VA	02AV	03AV	01VA
081208165655	08AV	09VA	05VA	07AV
081213085343	05AV	01VA	08AV	06VA
081215154852	07VA	12AV	11AV	06VA
081217155500	01AV	10VA	01VA	06AV
081217175148	03VA	11AV	05VA	07AV
081218165427	11AV	10VA	06AV	08VA
090109101238	09AV	04VA	07AV	07VA
090112162233	03VA	10AV	08AV	02VA
090115150958	05AV	04VA	03VA	04AV
090121161304	11VA	09AV	04VA	08AV
090202162031	03AV	05VA	01AV	12VA
090204160451	08VA	06AV	07AV	11VA
090207124500		12VA	07VA	03AV
090214104001	07VA	12AV	10VA	10AV
090311160230	12AV	03VA	02AV	11VA
090314095150	09VA	04AV	05AV	04VA
090318160554	02AV	02VA	08VA	12AV
090323164018	09AV	04VA	12AV	10VA
090325152209	01VA	06AV	01AV	12VA
090328104011	09AV	11VA	01VA	07AV
090411105408	04VA	10AV	07VA	03AV
090420162527	03AV	08VA	06AV	05VA
090425104420	08VA	12AV	07AV	09VA
090512163950	04AV	12VA	03VA	06AV
090513130200	12VA	04AV	09VA	05AV
090514143105	05AV	06VA	11AV	01VA
090601165056	03VA	10AV	09AV	06VA
090604143532	03AV	04VA	08VA	11AV
090609154800	01VA	06AV	08VA	01AV
090611143538	01AV	11VA	10AV	02VA
090613104355	11VA	11AV	02AV	10VA
090617130615	02AV	05VA	06VA	05AV
090623163517	11VA	09AV	03VA	07AV
090624125324	04AV	09VA	07VA	07AV
090625142442	02VA	03AV	05AV	05VA
090711092619	01AV	07VA	09VA	12AV
090711105546	08AV	03VA	02AV	12VA
090715125121	05VA	12AV	06VA	08AV
090716142407	04VA	04AV	08AV	07VA
090728161522	08AV	10VA	02VA	10AV
090730090234	03VA	06AV	04VA	04AV
090820142507	01AV	06VA	12AV	01VA
090822095301	12VA	07AV	06AV	07VA
090825164254	12AV	03VA	08VA	03AV
090826130821	11VA	11AV	05VA	08AV
090826184709	11AV	10VA	04AV	02VA
090827143303	01VA	10AV	11AV	10VA
090908160234	08AV	12VA	09VA	09AV
090917110956	06VA	03AV	09VA	09AV
091010091003	08AV	04VA	07AV	09VA
091015123842	04VA	05AV	12AV	09VA
091027163830	03VA	08AV	09AV	02VA
091114105319	02AV	11VA	09AV	05VA
091123162658	12VA	02AV	02VA	05AV
091124163257	05AV	12VA	03AV	03VA
091125132031	08VA	01AV	02AV	11VA
091201153121	08VA	01AV	07VA	07AV
091207130340	10AV	08VA	06AV	07VA
091210155217	05VA	03AV	04AV	06VA
091217160116	07AV	10VA	07VA	02AV
091221171127	07VA	01AV	03VA	03AV
100104163307	01AV	08VA	08AV	07VA
100105163012	08VA	03AV	01AV	05VA
100107120845	06VA	12AV	09VA	11AV
100112164802	09VA	05AV	11AV	07VA
100116124302	11AV	03VA	04VA	04AV
100123085705	12AV	01VA	11AV	10VA
100213112008	03AV	12VA	02VA	10AV
100308161829	04VA	05AV	05VA	04AV
100310162146	03AV	04VA	04AV	12VA
100402101407	02VA	06AV	11VA	10AV
100405155058	05AV	06VA	10AV	09VA
100420164252	02VA	08AV	06AV	04VA
100429161903	12VA	08AV	01VA	07AV
100503163517	09AV	05VA	02AV	03VA
100505160750	11VA	02AV	12AV	06VA
100508094543	12AV	08VA	11VA	08AV
100508111751	06VA	12AV	01AV	02VA
100512161128	08AV	07VA	09VA	11AV
100518155738	11VA	06AV	02VA	09AV
100519155724	09AV	05VA	01AV	02VA
100522091923	04VA	10AV	03AV	12VA
100526163138	05AV	11VA	10VA	03AV
100602155417	01VA	11AV	10VA	10AV
100608164143	04AV	06VA	06AV	12VA
100609160740	03VA	11AV	04AV	09VA
100616160410	06VA	12AV	08VA	01AV
100626104222	02AV	03VA	12AV	01VA
100908171452	05VA	06AV	07AV	01VA
101023122142	07VA	09AV	08AV	10VA
101120120436	03AV	04VA	05AV	07VA
101120135335	05VA	05AV	09VA	03AV
101120153518	11AV	10VA	08AV	11VA
101122153412	11VA	02AV	05AV	08VA
101123160020	10AV	12VA	04VA	04AV
101201164822	12VA	07AV	07VA	08AV
101208165124	12VA	04AV	05VA	03AV
101241545011	04AV	01VA	03AV	11VA
101218115734	09VA	06AV	03AV	11VA
101218141509	09AV	01VA	03VA	01AV
110119154632	08VA	05AV	09VA	11AV
110129134201	01AV	02VA	08AV	09VA
110209160202	02VA	09AV	11AV	05VA
110209170916	02AV	06VA	07VA	05AV
110226122311	03VA	06AV	07VA	02AV
110314170503	11AV	03VA	06AV	06VA
110412160841	12VA	11AV	05AV	10VA
110601171939	10AV	02VA	10VA	03AV
111217121758	06AV	04VA	01AV	11VA
111217135911	05VA	01AV	02AV	09VA
111217152311	05AV	07VA	10VA	04AV
111220144044	05VA	08AV	03VA	10AV
120104092116	10AV	05VA	07AV	04VA
081118152142	08AV	12VA	07VA	11AV
070623150331	07VA	10AV	05AV	03VA
071126090657	09AV	01VA	03VA	02AV
111109163617	09VA	07AV	02VA	02AV
071015172813	05AV	03VA	05VA	06AV
100614163935	01AV	01VA	03VA	09AV
080215152230	10AV	04VA	01VA	04AV
100106160448	07AV	01VA	09VA	06AV
061009163735	12VA	03AV	01VA	05AV
060831162321	01AV	07VA	12AV	08VA
060114145745	05AV	02VA	05VA	07AV
080201103125	10VA	08AV	09AV	08VA
080628090733	03AV	02VA	11AV	09VA
080628102349	06VA	07AV	10AV	
081122091423	06AV	04VA	05AV	05VA
081209154302	09VA	02AV	02VA	01AV
091114093442	11AV	02VA	06VA	06AV
100119163104	10VA	02AV	08VA	09AV
101117170824	12AV	08VA	05VA	07AV
080924164123	08AV	04VA	02AV	10VA
070628160928	05AV	08VA	11AV	06VA
070630111754	12AV	09VA	04VA	01AV
070927170426	08AV	10VA	10AV	12VA
081106165526	12VA	04AV	12AV	10VA
081122102059	06VA	02AV	01AV	10VA
100330164202	09AV	06VA	05VA	01AV
101012162314	04VA	02AV	03VA	04AV
101204151200	07AV	08VA	10AV	09VA
070705103237	12VA	09AV	01AV	03VA
91110163032	01VA	10AV	10VA	12AV
100112152502	07AV	02VA	06AV	11VA
100123103330	03VA	07AV	09AV	12VA
090319164853	02VA	11AV		
100111163159	05AV			
051210144003	04VA	08AV	TOA	
071109164330	12VA	07AV	04VA	
071210172546	08AV	08VA		
070927161338	07VA	01AV	09VA	
060218100229	10AV	11VA	08VA	04AV
091109161530	04AV	04VA		
100317160946	10VA	10AV		
081223150300	10VA	01AV	09AV	05VA
080728133808	03VA	12AV		
070330093605	05AV	02VA	01VA	06AV
060220161634	06AV	12VA	12AV	
090106111816	09AV	06VA	11VA	
090108151009	12VA	05AV	06VA	04AV
070721095910	03VA	09AV	06AV	06VA
060626164357	01VA	12AV	01AV	02VA
070411162335	05VA	09AV	10AV	07VA
080703090041	06AV	10VA	08VA	02AV
080813133631	03AV	07VA	09VA	06AV
060918154502	06VA	03AV	12AV	05VA
091031092919	04AV	04VA		
091130164455	05AV	05VA		
100424104417	02AV	10VA	07VA	05AV
				
050801125734				
050802162649				
050809094057				
050809110656				
050815125327				
050815143158				
050816131713				
050920162720				
050921161335				
050927160334				
051004163257				
051019163007				
051102183404				
051110161741				
051111120257				
051214163248				
051222163350				
070127144144				
070210140443				
070214152745				
081108094300				
090115164132				
060313160433	10AV	04VA	01AV	06VA
060327164021	08AV	03VA	01AV	08VA
060401095910	04AV	01VA	04VA	07AV
060415105834	05VA	05AV	04VA	12AV
060508154949	02AV	03VA	07VA	06AV
070120094035	12AV	01VA	06VA	07AV
070120110753	05VA	08AV	08VA	02AV
070203094412	08AV	06VA	08VA	04AV
070203111629	10VA	07AV	03VA	05AV
070623161659	04AV	11VA	02VA	02AV
080223100557	03AV	11VA	05AV	02VA
080223114932	01VA	08AV	03AV	02VA
080223130911	11AV	11VA	12VA	06AV
080223142619	08VA	07AV	05VA	10AV
060415095112				
